ep. 224 - いっしょにお話ししませんか！？(N3）

皆さんこんにちはともです えっと今日はね皆さんに連絡です
どんなことについて話したいかっていうのがあればそれも書いてください
えっとねこの名前とかね国とかそういうのを書かないでやりたいですだけの人は ちゃんとね俺の話を聞いてくれないとか
あとはインスタをちゃんと見てない人だと思うのでそういう人はねちょっと参加はでき ませんですのでメールを送るときには必ず
その今言った名前と国とあとはどんなことについて話したいかっていうのを必ず書いて ください
じゃあこれがねその英語についての連絡です でもう一つこれもねー
あのインスタに載せたんですけど 英語だけじゃなくて中国語も
話してみたいと思います俺はね中国語少しだけわかります 本当に少しだけです
でも 今ね全然中国を使わないからほとんど忘れてしまいました
友達は中国語が全然わかりませんで全然わからないけどでも俺はねあの忘れた中国語を 思い出すように友達は新しい外国語に興味があるから
だから中国語を少し話してみたいと思います ですので中国語で話してくれる人も
メッセージとかメールをくださいですが中国語は 本当にねあの
俺も友達もできませんから 下手な中国語でも大丈夫という人だけでお願いします
俺は中国語ね台湾の台南っていうところで覚えたので あのその近くの人だとね俺の覚えた中国語と同じだから嬉しいなと思うんです
けど まあ中国語を使うところの人だったらねどこでもいいです
下手な中国語でもいいっていうならね これも同じですメールに名前と国とあとはどんなことを話したいかっていうのを書いて
ください でねえっと中国語はね中国語だけで話は
できませんから中国語と日本語どちらも一緒に使って話をします えっとまあこれも英語の時と同じですが
友達の日本語はちょっと難しい時もあると思いますが難しくてわからないときは ちゃんと俺が簡単な日本語に直します
中国語の練習と俺は中国語の練習をしたいですが日本語の練習もちゃんとできます みなさんも日本語の練習したかったらたくさん日本語で話しても大丈夫です
ではこれが中国語についての連絡でした 英語の練習と中国語の練習一緒にしてくれる人はぜひメールを送ってください
えっとねとりあえずね英語の方も中国語の方も あの
毎週じゃありませんよ1回だけ とりあえず1回だけ
あの やりたい人がとても多いとかねあとは1回やってみてすごく面白かったらこの後も何回も
するかもしれませんがまだそれはわかりません やってみないとどうなるかわかりません
いつやるか何日や何日にやるかはまだ全然決まっていません これからいろいろな人がメールをくれると思いますからそのメールを
あの見てそして送ってくれた人といつがいいですかっていう相談をしてそれから 決めたいと思います
はいじゃあ以上が今日の連絡でしたあの 今まではポッドキャストで俺が一人で話すだけでしたから
このポッドキャストを聞いてくれている人とね一緒に話すのは初めてです でもこのポッドキャストのタイトル
見たらわかると思いますが 俺が一人で話すだけじゃなくて本当はねみんなと一緒にいろいろな話が一緒に話が
できたらそれが一番いいので 今回のこの
チャレンジはねこのポッドキャストにとってのその一番の なんていうんでしょうね一番やりたかったことっていうか
一番できるといいなと思ってたことなので えっと皆さんぜひメールをくださいよろしくお願いします
では今日の連絡以上で終わりになります8インスタのアカウントを持っている人はね 今日の話の連絡がありますからまだ見てない人
俺のインスタ見てみてくださいよろしくお願いします それじゃあさようなら
違う間違えたさようならじゃないもう一つ連絡がありました連絡というか あの
まあ連絡ですね8今日の朝インスタにこの連絡を載せたんですけど それからね早速メールとかメッセージをくれた人がいます
それでいくつか質問があったんですがその質問にも答えておきます まず一つ目
アメリカとかイギリスじゃないですけど大丈夫ですかっていう質問でしたね 英語が上手な人だったらまあどこの国でもいいですよ
あの
まあそうですね英語の国ってやっぱり一番 有名っていうか大きい国だとアメリカとかイギリスですけど他にも英語を使う国なんて
たくさんありますからね 8オーストラリアとかニュージーランドとかあとは香港とかもそうですね
で英語 英語の国ではないけどでも英語が上手だっていう国もたくさんあると思いますから
あの 自分はこの国だからダメだと思わないでどんな国の人でもメッセージとかメールとりあえず
送ってみてください 8それからもう一つ質問があったんですが8
これは今週の土曜日ですかっていう質問 今週の土曜日じゃありませんまだいつやるかはわかりません
8いつやるかわかりませんがもしやるなら土曜日の夜です あの俺と友達の仕事が休みで暇な日がねあの
だいたい土曜日なのでだから土曜日の夜とインスタに書いてありますが何日にある かは決まっていません
8それから毎週でもありませんとりあえず1回やります でその後であの今後もやりまたやりたいなと思ったら1回だけで終わらないで何回も
やりたいと思います あとねこれは質問ではないんですけど
8約束をしてほしいことが一つあります
話をする時は 喧嘩はしないでください
あの 一人だけじゃなくてねいろいろな国の人何人かと一緒にやりたいんですけど
あのその時にね 違う国の人がいてで私はその国の人が嫌いだとか
その国が嫌いだから一緒に話したくないとかあとは話をするときに何か ワール悪口って言うんですけど相手の悪い話をしたりとかね
あとは喧嘩じゃないですけどその国と国の せあの政治についてなんであなたの国はこういうことをするんですかとか
そういう話はねしないでほしいと思います あのせっかくの楽しい時間ですから楽しい話だけをしたいと思います
それが約束できる人だけ参加してください あの誰かを傷つけるということは絶対したくないのでそういうことをする人は
今回のには参加できませんし今後も何かね 俺のポッドキャストのイベントがあったときも
ね誰かのことを悪く言ったりする人は参加はできませんからそこは宜しくお願いします はいでは今度こそさようなら
