ep. 224 - いっしょにお話ししませんか！？(N3）

(00:00:00) 皆さんこんにちはともです えっと今日はね皆さんに連絡です
(00:03:13) あの1回だけです
(00:03:16) なのでやってみたい人がいたらとりあえずね連絡をください そして連絡をもらった人と何日にするか決めてそして
(00:03:26) 1回だけやりたいと思います もしあのやりたいという人がとても多かったら1回だけじゃなくて何回かするかも
(00:03:37) しれません まだねあの全然わかりませんけどね
(00:03:42) えっと1回で 参加できる人はあまり多くない方がいいと思うので
(00:03:49) まあそうですね2人とか3人とかそのぐらいかなと思います 8
(00:03:56) 参加したい人がとても多かったら全員はできないと思うのでその時は
(00:04:04) メールを送るのが早かった人かそれかいろいろな国からランダムで選ぶ ランダムで選ぶかして決めたいと思います
(00:04:15) ということで 英語の国の人あの
(00:04:19) 俺とね話してみたいという人がいたらメールをください メールアドレスはいつもと違うメールを使うのでちょっと気をつけてください
(00:04:29) 今日のこのエピソードの説明にその連絡のメールを書いておきますからそちらの方に メールをください
(00:04:36) メールができない人はインスタのメッセージでも大丈夫です メールを送るときメールとかメッセージを送るときには名前と国とあとはあの
(00:04:48) どんなことについて話したいかっていうのがあればそれも書いてください
(00:04:54) えっとねこの名前とかね国とかそういうのを書かないでやりたいですだけの人は ちゃんとね俺の話を聞いてくれないとか
(00:05:06) あとはインスタをちゃんと見てない人だと思うのでそういう人はねちょっと参加はでき ませんですのでメールを送るときには必ず
(00:05:15) その今言った名前と国とあとはどんなことについて話したいかっていうのを必ず書いて ください
(00:05:24) じゃあこれがねその英語についての連絡です でもう一つこれもねー
(00:05:32) あのインスタに載せたんですけど 英語だけじゃなくて中国語も
(00:05:38) 話してみたいと思います俺はね中国語少しだけわかります 本当に少しだけです
(00:05:47) でも 今ね全然中国を使わないからほとんど忘れてしまいました
(00:05:53) 友達は中国語が全然わかりませんで全然わからないけどでも俺はねあの忘れた中国語を 思い出すように友達は新しい外国語に興味があるから
(00:06:06) だから中国語を少し話してみたいと思います ですので中国語で話してくれる人も
(00:06:15) メッセージとかメールをくださいですが中国語は 本当にねあの
(00:06:22) 俺も友達もできませんから 下手な中国語でも大丈夫という人だけでお願いします
(00:06:31) 俺は中国語ね台湾の台南っていうところで覚えたので あのその近くの人だとね俺の覚えた中国語と同じだから嬉しいなと思うんです
(00:06:43) けど まあ中国語を使うところの人だったらねどこでもいいです
(00:06:49) 下手な中国語でもいいっていうならね これも同じですメールに名前と国とあとはどんなことを話したいかっていうのを書いて
(00:06:58) ください でねえっと中国語はね中国語だけで話は
(00:07:04) できませんから中国語と日本語どちらも一緒に使って話をします えっとまあこれも英語の時と同じですが
(00:07:16) 友達の日本語はちょっと難しい時もあると思いますが難しくてわからないときは ちゃんと俺が簡単な日本語に直します
(00:07:25) 中国語の練習と俺は中国語の練習をしたいですが日本語の練習もちゃんとできます みなさんも日本語の練習したかったらたくさん日本語で話しても大丈夫です
(00:07:37) ではこれが中国語についての連絡でした 英語の練習と中国語の練習一緒にしてくれる人はぜひメールを送ってください
(00:07:49) えっとねとりあえずね英語の方も中国語の方も あの
(00:07:55) 毎週じゃありませんよ1回だけ とりあえず1回だけ
(00:08:00) あの やりたい人がとても多いとかねあとは1回やってみてすごく面白かったらこの後も何回も
(00:08:08) するかもしれませんがまだそれはわかりません やってみないとどうなるかわかりません
(00:08:14) いつやるか何日や何日にやるかはまだ全然決まっていません これからいろいろな人がメールをくれると思いますからそのメールを
(00:08:23) あの見てそして送ってくれた人といつがいいですかっていう相談をしてそれから 決めたいと思います
(00:08:33) はいじゃあ以上が今日の連絡でしたあの 今まではポッドキャストで俺が一人で話すだけでしたから
(00:08:42) このポッドキャストを聞いてくれている人とね一緒に話すのは初めてです でもこのポッドキャストのタイトル
(00:08:51) 見たらわかると思いますが 俺が一人で話すだけじゃなくて本当はねみんなと一緒にいろいろな話が一緒に話が
(00:08:59) できたらそれが一番いいので 今回のこの
(00:09:03) チャレンジはねこのポッドキャストにとってのその一番の なんていうんでしょうね一番やりたかったことっていうか
(00:09:14) 一番できるといいなと思ってたことなので えっと皆さんぜひメールをくださいよろしくお願いします
(00:09:22) では今日の連絡以上で終わりになります8インスタのアカウントを持っている人はね 今日の話の連絡がありますからまだ見てない人
(00:09:31) 俺のインスタ見てみてくださいよろしくお願いします それじゃあさようなら
(00:09:38) 違う間違えたさようならじゃないもう一つ連絡がありました連絡というか あの
(00:09:45) まあ連絡ですね8今日の朝インスタにこの連絡を載せたんですけど それからね早速メールとかメッセージをくれた人がいます
(00:09:56) それでいくつか質問があったんですがその質問にも答えておきます まず一つ目
(00:10:03) アメリカとかイギリスじゃないですけど大丈夫ですかっていう質問でしたね 英語が上手な人だったらまあどこの国でもいいですよ
(00:10:12) あの
(00:10:14) まあそうですね英語の国ってやっぱり一番 有名っていうか大きい国だとアメリカとかイギリスですけど他にも英語を使う国なんて
(00:10:23) たくさんありますからね 8オーストラリアとかニュージーランドとかあとは香港とかもそうですね
(00:10:30) で英語 英語の国ではないけどでも英語が上手だっていう国もたくさんあると思いますから
(00:10:38) あの 自分はこの国だからダメだと思わないでどんな国の人でもメッセージとかメールとりあえず
(00:10:46) 送ってみてください 8それからもう一つ質問があったんですが8
(00:10:53) これは今週の土曜日ですかっていう質問 今週の土曜日じゃありませんまだいつやるかはわかりません
(00:11:01) 8いつやるかわかりませんがもしやるなら土曜日の夜です あの俺と友達の仕事が休みで暇な日がねあの
(00:11:14) だいたい土曜日なのでだから土曜日の夜とインスタに書いてありますが何日にある かは決まっていません
(00:11:22) 8それから毎週でもありませんとりあえず1回やります でその後であの今後もやりまたやりたいなと思ったら1回だけで終わらないで何回も
(00:11:33) やりたいと思います あとねこれは質問ではないんですけど
(00:11:39) 8約束をしてほしいことが一つあります
(00:11:45) 話をする時は 喧嘩はしないでください
(00:11:49) あの 一人だけじゃなくてねいろいろな国の人何人かと一緒にやりたいんですけど
(00:11:56) あのその時にね 違う国の人がいてで私はその国の人が嫌いだとか
(00:12:04) その国が嫌いだから一緒に話したくないとかあとは話をするときに何か ワール悪口って言うんですけど相手の悪い話をしたりとかね
(00:12:15) あとは喧嘩じゃないですけどその国と国の せあの政治についてなんであなたの国はこういうことをするんですかとか
(00:12:27) そういう話はねしないでほしいと思います あのせっかくの楽しい時間ですから楽しい話だけをしたいと思います
(00:12:35) それが約束できる人だけ参加してください あの誰かを傷つけるということは絶対したくないのでそういうことをする人は
(00:12:48) 今回のには参加できませんし今後も何かね 俺のポッドキャストのイベントがあったときも
(00:12:55) ね誰かのことを悪く言ったりする人は参加はできませんからそこは宜しくお願いします はいでは今度こそさようなら
